Component, CC
java.edu.umd.cs.findbugs.classfile.analysis.EnumValue,2
java5.edu.umd.cs.findbugs.gui2.SorterTableColumnModel,8
java.edu.umd.cs.findbugs.classfile.engine.bcel.UnpackedCode,2
java.edu.umd.cs.findbugs.ba.AbstractDataflowAnalysis,3
gui.edu.umd.cs.findbugs.gui2.Sortables,4
java.edu.umd.cs.findbugs.detect.PreferZeroLengthArrays,2
java5.edu.umd.cs.findbugs.sourceViewer.NumberedParagraphView,2
junit.edu.umd.cs.findbugs.ObfuscateTest,3
java.edu.umd.cs.findbugs.classfile.engine.bcel.BackwardTypeQualifierDataflowFactoryFactory,2
java.edu.umd.cs.findbugs.detect.UnnecessaryMath,4
java5.edu.umd.cs.findbugs.gui2.SaveType,3
gui.edu.umd.cs.findbugs.gui2.AbstractSwingGuiCallback,2
java.edu.umd.cs.findbugs.TigerSubstitutes,2
java5.edu.umd.cs.findbugs.gui2.TabbedLayout,3
java5.edu.umd.cs.findbugs.gui2.SwingThread,1
java.edu.umd.cs.findbugs.model.ClassFeatureSet,4
java5.edu.umd.cs.findbugs.gui2.FindBugsFilterFileFilter,2
java.edu.umd.cs.findbugs.Token,2
java.edu.umd.cs.findbugs.cloud.BugFilingHelper,4
java.edu.umd.cs.findbugs.bugReporter.MaxRankDecorator,6
java.edu.umd.cs.findbugs.ba.MethodBytecodeSet,2
java.edu.umd.cs.findbugs.UsageTracker,18
java5.edu.umd.cs.findbugs.gui2.AnalysisCallback,2
antTask.edu.umd.cs.findbugs.anttask.AbstractFindBugsTask,12
java.edu.umd.cs.findbugs.detect.FinalizerNullsFields,3
antTask.edu.umd.cs.findbugs.anttask.FindBugsTask,16
java.edu.umd.cs.findbugs.ba.ForwardDataflowAnalysis,2
java.edu.umd.cs.findbugs.ba.ClassContext,15
java.edu.umd.cs.findbugs.ba.ch.InheritanceEdge,2
java.edu.umd.cs.findbugs.classfile.engine.AbstractFieldAnnotationVisitor,2
gui.edu.umd.cs.findbugs.gui2.MainFrameHelper,2
java.edu.umd.cs.findbugs.ExcludingHashesBugReporter,4
junit.edu.umd.cs.findbugs.ba.npe2.TestNullnessValue,3
java.edu.umd.cs.findbugs.ba.AbstractField,2
java.edu.umd.cs.findbugs.detect.SynchronizationOnSharedBuiltinConstant,8
java5.edu.umd.cs.findbugs.gui2.Driver,6
java.edu.umd.cs.findbugs.ba.obl.MatchObligationParametersEntry,1
java.edu.umd.cs.findbugs.UpdateCheckCallback,3
gui.edu.umd.cs.findbugs.gui2.MainFrameTree,6
java.edu.umd.cs.findbugs.cloud.BugFiler,5
java.edu.umd.cs.findbugs.ba.DFSCFGPrinter,2
java.edu.umd.cs.findbugs.props.WarningPropertyUtil,4
java.edu.umd.cs.findbugs.gui.BugCellRenderer,1
java.edu.umd.cs.findbugs.ba.CheckReturnAnnotationDatabase,18
java.edu.umd.cs.findbugs.io.SlowInputStream,4
gui.edu.umd.cs.findbugs.gui2.SorterDialog,1
obsolete.edu.umd.cs.findbugs.gui.LineNumberer,4
java.edu.umd.cs.findbugs.ba.npe.IsNullValueAnalysisFeatures,2
