Component, CC
net.sf.freecol.common.model.EquipmentType,25
net.sf.freecol.common.util.XMLStream,1
net.sf.freecol.client.gui.action.ColopediaSkillAction,2
net.sf.freecol.client.gui.action.ReportNavalAction,3
net.sf.freecol.common.networking.BuyMessage,7
net.sf.freecol.common.resources.ChipResource,7
net.sf.freecol.common.networking.BuildColonyMessage,14
net.sf.freecol.client.gui.action.RenameAction,3
net.sf.freecol.common.ServerInfo,1
net.sf.freecol.common.networking.DisembarkMessage,6
net.sf.freecol.client.gui.panel.CaptureGoodsDialog,10
net.sf.freecol.common.networking.ChatMessage,5
net.sf.freecol.common.util.RandomChoice,4
net.sf.freecol.common.networking.InciteMessage,11
net.sf.freecol.client.gui.panel.SpecificationDialog,5
net.sf.freecol.client.gui.panel.ProductionMultiplesLabel,11
net.sf.freecol.client.gui.panel.InfoPanel,19
net.sf.freecol.client.gui.action.ReportHighScoresAction,4
net.sf.freecol.common.networking.MoveToMessage,1
net.sf.freecol.client.gui.action.ZoomInAction,6
net.sf.freecol.server.model.ServerColonyTile,13
net.sf.freecol.client.gui.action.EuropeAction,5
net.sf.freecol.common.networking.ScoutIndianSettlementMessage,12
net.sf.freecol.client.gui.panel.MarketLabel,8
net.sf.freecol.common.model.EuropeanNationType,31
net.sf.freecol.client.gui.panel.ReportLabourDetailPanel,1
net.sf.freecol.client.gui.panel.DumpCargoDialog,5
net.sf.freecol.common.model.pathfinding.CostDeciders,7
net.sf.freecol.server.ai.AIMain,18
net.sf.freecol.server.ai.CacheEntryComparator,2
net.sf.freecol.client.gui.action.SaveAndQuitAction,9
net.sf.freecol.client.gui.action.MiniMapZoomOutAction,6
net.sf.freecol.common.model.HistoryEvent,11
net.sf.freecol.common.model.FreeColGameObjectType,28
net.sf.freecol.client.gui.panel.ChooseFoundingFatherDialog,11
net.sf.freecol.common.networking.UpdateMarketMessage,2
net.sf.freecol.client.gui.TerrainCursor,1
net.sf.freecol.common.model.Nameable,2
net.sf.freecol.client.gui.plaf.FreeColMenuBarUI,5
net.sf.freecol.common.model.CombatModel,7
net.sf.freecol.common.model.Map,43
net.sf.freecol.client.gui.panel.ReportPanel,22
net.sf.freecol.client.gui.sound.SoundLibrary,1
net.sf.freecol.common.model.Tile,104
net.sf.freecol.client.gui.panel.FreeColDialog,16
net.sf.freecol.client.gui.panel.ColopediaGameObjectTypePanel,2
net.sf.freecol.client.gui.panel.MapEditorTransformPanel,27
net.sf.freecol.client.gui.action.ColopediaNationTypeAction,2
net.sf.freecol.client.gui.panel.ReportExplorationPanel,6
net.sf.freecol.client.gui.action.ReconnectAction,3
net.sf.freecol.common.networking.NetworkReplyObject,2
net.sf.freecol.tools.MergeTranslations,4
net.sf.freecol.client.gui.action.ReportLabourAction,3
net.sf.freecol.client.gui.i18n.ZeroOneNumberRule,4
net.sf.freecol.common.option.UnitListOption,5
net.sf.freecol.client.gui.plaf.FreeColToolTipUI,7
net.sf.freecol.client.gui.panel.EmigrationPanel,4
net.sf.freecol.client.gui.option.BooleanOptionUI,9
net.sf.freecol.common.model.Operand,9
net.sf.freecol.common.networking.AskSkillMessage,10
net.sf.freecol.server.ai.goal.GoalConstants,2
net.sf.freecol.server.ai.mission.BuildColonyMission,34
net.sf.freecol.client.gui.panel.ReportColonyPanel,40
net.sf.freecol.common.option.LanguageOption,12
net.sf.freecol.client.gui.action.ColopediaAction,9
net.sf.freecol.server.ai.AIObject,8
net.sf.freecol.common.networking.Message,6
net.sf.freecol.client.gui.action.UnloadAction,15
net.sf.freecol.client.gui.action.ReportContinentalCongressAction,3
net.sf.freecol.client.gui.panel.EndTurnDialog,5
net.sf.freecol.server.ai.mission.WishRealizationMission,15
net.sf.freecol.client.gui.panel.FreeColProgressBar,8
net.sf.freecol.common.networking.StreamedMessageHandler,1
net.sf.freecol.common.model.NewWorld,4
net.sf.freecol.client.gui.panel.ReportProductionPanel,15
net.sf.freecol.client.control.MapEditorController,29
net.sf.freecol.common.model.GameOptions,18
net.sf.freecol.client.gui.panel.MiniMap,18
net.sf.freecol.server.model.ServerPlayer,138
net.sf.freecol.common.model.StanceTradeItem,5
net.sf.freecol.client.gui.panel.InformationDialog,6
net.sf.freecol.client.gui.CanvasMouseMotionListener,9
net.sf.freecol.client.control.ConnectController,44
net.sf.freecol.common.model.Settlement,72
net.sf.freecol.common.model.mission.CompoundMission,7
net.sf.freecol.client.gui.action.LoadAction,4
net.sf.freecol.client.gui.plaf.FreeColLookAndFeel,16
net.sf.freecol.server.ai.Transportable,3
net.sf.freecol.common.model.pathfinding.AvoidBlockingUnitsCostDecider,1
net.sf.freecol.common.networking.UnloadCargoMessage,7
net.sf.freecol.common.model.StringTemplate,15
net.sf.freecol.client.gui.action.NewEmptyMapAction,9
net.sf.freecol.client.gui.panel.ChatPanel,2
net.sf.freecol.common.resources.SZAResource,4
net.sf.freecol.client.gui.panel.StatisticsPanel,5
net.sf.freecol.client.gui.MapEditorMenuBar,15
net.sf.freecol.common.option.ListOption,16
net.sf.freecol.tools.SaveGameValidator,3
net.sf.freecol.common.networking.ClaimLandMessage,11
net.sf.freecol.client.gui.action.ReportColonyAction,3
net.sf.freecol.common.model.ResourceType,18
net.sf.freecol.client.gui.action.ColopediaGoodsAction,2
net.sf.freecol.common.model.UnitTradeItem,6
net.sf.freecol.common.networking.LootCargoMessage,6
net.sf.freecol.common.model.ColonyTradeItem,8
net.sf.freecol.client.gui.plaf.FreeColTransparentPanelUI,4
net.sf.freecol.client.gui.action.SentryAction,7
net.sf.freecol.common.model.Unit,234
net.sf.freecol.common.networking.DisbandUnitMessage,3
net.sf.freecol.common.networking.LoadCargoMessage,6
net.sf.freecol.common.model.TypeCountMap,6
net.sf.freecol.client.gui.panel.ChoiceItem,5
