Component, CC
org.jfree.data.KeyedValues2D,4
org.jfree.data.general.Dataset,4
org.jfree.data.time.Millisecond,11
org.jfree.chart.title.LegendItemBlockContainer,5
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,16
org.jfree.chart.JFreeChart,29
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,6
org.jfree.chart.urls.XYZURLGenerator,5
org.jfree.chart.labels.PieSectionLabelGenerator,4
org.jfree.chart.demo.BarChartDemo1,11
org.jfree.chart.util.LineUtilities,4
org.jfree.data.general.ValueDataset,4
org.jfree.data.category.DefaultCategoryDataset,8
org.jfree.data.KeyedValues,4
org.jfree.data.time.TimePeriodFormatException,4
org.jfree.data.statistics.SimpleHistogramBin,5
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,19
org.jfree.chart.plot.PlotUtilities,6
org.jfree.chart.block.CenterArrangement,5
org.jfree.chart.plot.dial.DialValueIndicator,8
org.jfree.chart.urls.StandardXYZURLGenerator,5
org.jfree.chart.fx.demo.package-info,1
org.jfree.data.KeyedValueComparatorType,6
org.jfree.data.statistics.StatisticalCategoryDataset,5
org.jfree.data.KeyToGroupMap,5
org.jfree.chart.encoders.ImageEncoderFactory,6
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,7
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,5
org.jfree.data.time.TimePeriodAnchor,5
org.jfree.chart.plot.CombinedDomainCategoryPlot,16
org.jfree.chart.plot.GreyPalette,5
org.jfree.chart.jxlayer.CrosshairLabelGenerator,2
org.jfree.chart.fx.FXGraphics2D,6
org.jfree.data.xy.YIntervalDataItem,4
org.jfree.chart.servlet.ChartDeleter,5
org.jfree.chart.renderer.category.StackedBarRenderer,12
org.jfree.data.xy.XYIntervalSeries,7
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,4
org.jfree.chart.renderer.category.StackedBarRenderer3D,15
org.jfree.chart.axis.LogTick,1
org.jfree.chart.entity.XYItemEntity,5
org.jfree.chart.fx.interaction.AnchorHandlerFX,1
org.jfree.chart.plot.CombinedRangeCategoryPlot,15
org.jfree.chart.plot.CategoryCrosshairState,4
