Component, CC
net.sf.jabref.EntrySorter,11
net.sf.jabref.wizard.integrity.IntegrityCheck,6
antlr.Version,1
antlr.GrammarAtom,2
net.sf.jabref.gui.ImportInspectionDialog,53
net.sf.jabref.groups.AddToGroupAction,4
com.incors.plaf.kunststoff.KunststoffButtonUI,2
net.sf.jabref.label.LabelMaker,2
antlr.InputBuffer,2
gnu.dtools.ritopt.StreamPrinter,2
net.sf.jabref.export.layout.ParamLayoutFormatter,2
net.sf.jabref.export.layout.format.AuthorFirstFirstCommas,3
antlr.collections.impl.ASTEnumerator,1
net.sf.jabref.mods.PageNumbers,6
net.sf.jabref.external.SpringerLinkPdfDownload,2
net.sf.jabref.export.layout.format.AuthorFirstAbbrLastOxfordCommas,1
com.incors.plaf.kunststoff.KunststoffInternalFrameTitlePane,2
net.sf.jabref.imports.FieldContentParser,12
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.DBLPPlusPlusService,1
antlr.ANTLRTokdefLexer,2
net.sf.jabref.export.layout.LayoutFormatter,2
net.sf.jabref.OutputPrinter,1
net.sf.jabref.undo.CountingUndoManager,6
net.sf.jabref.export.layout.format.FixAuthorFirstFirst,2
antlr.NoViableAltException,2
tests.net.sf.jabref.util.XMPSchemaBibtexTest,6
net.sf.jabref.plugin.PluginInstaller,8
antlr.debug.SemanticPredicateEvent,1
net.sf.jabref.groups.AutoGroupDialog,17
antlr.ASTVisitor,2
net.sf.jabref.export.MsBibExporter,2
net.sf.jabref.plugin.util.RuntimeExtension,1
tests.net.sf.jabref.DuplicateCheckTest,1
net.sf.jabref.mods.MODSDatabase,6
antlr.CommonASTWithHiddenTokens,2
net.sf.jabref.DatabaseChangeListener,2
antlr.NoViableAltForCharException,2
net.sf.jabref.export.layout.format.ToUpperCase,1
net.sf.jabref.export.layout.format.AuthorAbbreviator,9
net.sf.jabref.gui.AttachFileDialog,10
antlr.Tool,2
net.sf.jabref.collab.MetaDataChange,3
net.sf.jabref.export.layout.format.ResolvePDF,9
net.sf.jabref.export.layout.format.RTFChars,13
net.sf.jabref.BibtexDatabase,31
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.dblppp.DBLPppFetcher,1
spl.filter.PdfFileFilter,1
antlr.TokenStreamException,2
net.sf.jabref.imports.CiteSeerFetcherPanel,17
gnu.dtools.ritopt.Option,3
antlr.Alternative,2
net.sf.jabref.imports.SixpackImporter,7
antlr.TokenStreamSelector,2
net.sf.jabref.export.layout.format.AuthorLastFirstAbbrCommas,3
antlr.ANTLRHashString,2
antlr.TokenStreamRewriteEngine,1
wsi.ra.tool.WSITools,3
com.incors.plaf.ColorUIResource2,2
net.sf.jabref.groups.GroupSelector,94
gnu.dtools.ritopt.Utility,2
net.sf.jabref.imports.acm1.src.net.sf.jabref.imports.ACMFetcher,1
net.sf.jabref.export.layout.format.AuthorLF_FFAbbr,1
antlr.SimpleTokenManager,2
antlr.TokenRangeElement,2
antlr.ExceptionSpec,2
net.sf.jabref.util.MassSetFieldAction,8
net.sf.jabref.imports.ImportUnknownMenuItem,13
jabref.lib.PrepRelease,2
net.sf.jabref.export.MySQLExport,8
antlr.ParserGrammar,2
antlr.GrammarAnalyzer,2
net.sf.jabref.export.OpenDocumentRepresentation,10
net.sf.jabref.FieldTextField,21
com.example.plugin1.Plugin1Panel,1
net.sf.jabref.undo.UndoablePreambleChange,2
net.sf.jabref.groups.AndOrSearchRuleSet,4
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.dblppp.KeyMapper,1
net.sf.jabref.oo.YearComparator,1
com.incors.plaf.kunststoff.KunststoffTreeUI,1
antlr.TreeParser,2
antlr.GrammarElement,2
net.sf.jabref.export.xml.src.net.sf.jabref.export.xml.XslFormatter,1
antlr.preprocessor.Option,1
com.incors.plaf.kunststoff.KunststoffProgressBarUI,1
net.sf.jabref.collab.StringNameChange,5
net.sf.jabref.util.CaseChanger,5
net.sf.jabref.imports.dblppp.test.net.sf.jabref.imports.dblppp.JabRefDBLPppPluginTest,2
antlr.actions.csharp.ActionLexer,1
net.sf.jabref.imports.CiteSeerEntryFetcher,3
net.sf.jabref.oo.OOUtil,2
net.sf.jabref.gui.AutoCompleter,7
net.sf.jabref.autocompleter.DefaultAutoCompleter,1
gnu.dtools.ritopt.OptionProcessingException,1
net.sf.jabref.bst.WidthFunction,2
antlr.preprocessor.Rule,1
net.sf.jabref.export.CustomExportDialog,7
net.sf.jabref.export.layout.format.NameFormat,2
tests.net.sf.jabref.bst.BibtexWidthTest,1
antlr.RuleRefElement,2
net.sf.jabref.UnknownEntryType,4
net.sf.jabref.sql.SQLutils,2
com.incors.plaf.kunststoff.KunststoffTextAreaUI,1
net.sf.jabref.gui.SortTabsAction,3
net.sf.jabref.imports.AuthorDialog,5
net.sf.jabref.external.PushToLyx,8
net.sf.jabref.label.DefaultLabelRule,3
net.sf.jabref.export.layout.format.FixAuthorLastFirstForHTML,2
net.sf.jabref.bst.VM,5
net.sf.jabref.export.layout.format.FormatPagesForXML,2
antlr.preprocessor.Preprocessor,1
net.sf.jabref.imports.BibTeXMLHandler,6
net.sf.jabref.export.layout.format.FixAuthorLastFirstForXML,2
antlr.collections.impl.IntRange,1
net.sf.jabref.search.HitOrMissComparator,2
antlr.debug.SyntacticPredicateListener,1
jabref-mrdlib.src.java.spl.listener.LabelLinkListener,3
net.sf.jabref.external.FindFullTextAction,2
net.sf.jabref.imports.JSTORFetcher,4
jabref.src.osx.osxadapter.OSXAdapter,4
net.sf.jabref.search.SearchExpressionLexerTokenTypes,5
antlr.BlockEndElement,2
net.sf.jabref.imports.CopacImporter,2
net.sf.jabref.PrefsTab,4
net.sf.jabref.oo.ComparableMark,2
net.sf.jabref.plugin.core.JabRefPlugin,2
net.sf.jabref.imports.OpenDatabaseAction,35
tests.net.sf.jabref.export.layout.AllTests,5
net.sf.jabref.export.layout.format.ToLowerCase,4
net.sf.jabref.export.layout.FieldLayoutFormatter,2
net.sf.jabref.oo.OOBibStyle,1
net.sf.jabref.NameCache,2
antlr.collections.impl.LList,1
net.sf.jabref.export.LatexFieldFormatter,22
net.sf.jabref.mods.MODSEntry,11
net.sf.jabref.labelPattern.SearchFixDuplicateLabels,1
net.sf.jabref.imports.MedlineHandler,16
net.sf.jabref.gui.FileListEntryEditor,20
net.sf.jabref.DisplayPanel,2
net.sf.jabref.external.DownloadExternalFile,17
tests.net.sf.jabref.export.layout.RTFCharsTest,3
net.sf.jabref.external.RegExpFileSearch,2
net.sf.jabref.groups.GroupTreeCellRenderer,15
antlr.TokenStreamIOException,2
net.sf.jabref.StringDialog,16
net.sf.jabref.ImportFormatReader,7
net.sf.jabref.external.PushToVim,8
net.sf.jabref.gui.components.JPanelYBox,2
net.sf.jabref.export.layout.format.DOICheck,2
tests.net.sf.jabref.export.layout.format.AuthorFirstLastOxfordCommasTest,1
