Component, CC
org.openscience.jmol.app.jmolpanel.JsonNioClient,3
org.jmol.awt.Platform,8
org.jmol.viewer.AlphaMonomer,2
org.jmol.viewer.NucleicPolymer,1
org.jmol.viewer.ColorManager,65
org.jmol.export.PovrayExporter,7
org.openscience.jvxl.simplewriter.SimpleMarchingCubes,14
org.jmol.viewer.ProteinStructure,4
org.jmol.viewer.Compiler,205
org.jmol.shape.Pmesh,4
org.jmol.adapter.smarter.MopacGraphfReader,11
org.openscience.jvxl.data.MeshData,4
org.jmol.viewer.Measurement,10
org.jmol.adapter.readers.quantum.MoldenReader,30
org.jmol.shapespecial.PolyhedraRenderer,10
org.jmol.adapter.readers.MopacReader,2
org.jmol.shape.CageRenderer,9
org.jmol.viewer.Backbone,1
org.jmol.quantum.MopacData,5
org.jmol.modelsetbio.BioPolymer,119
org.jmol.util.Point3fi,9
org.jmol.adapter.readers.more.MOReader,23
org.jmol.shapegenerator.SticksGenerator,1
org.jmol.quantum.MOCalculation,59
org.jmol.viewer.Frame,50
org.jmol.adapter.smarter.JmeReader,4
org.jmol.modelframe.Atom,13
com.sparshui.gestures.SinglePointDragGesture,2
org.jmol.viewer.Dipoles,11
org.jmol.adapter.readers.OdysseyReader,2
org.jmol.jvxl.readers.EfvetReader,14
org.jmol.viewer.binding.DragBinding,5
org.jmol.shapespecial.Draw,148
org.jmol.applet.ClassPreloader,2
org.jmol.jvxl.data.AtomData,3
org.jmol.adapter.readers.orbital.WebMOReader,2
org.jmol.viewer.PropertyManager,58
org.jmol.smiles.SmilesSearch,100
org.openscience.jmol.app.jmolpanel.PovraySaver,2
org.jmol.adapter.smarter.SpartanArchive,9
org.jmol.modelsetbio.Resolver,17
org.jmol.adapter.readers.more.HinReader,6
org.jmol.shapebio.MeshRibbonRenderer,5
org.jmol.export._Exporter,30
org.jmol.jvxl.readers.IsoSolventReader,86
org.jmol.viewer.Frank,3
org.openscience.jvxl.calc.MarchingCubes,3
org.jmol.modelframe.CellInfo,2
org.jmol.viewer.Uccage,2
com.sparshui.common.messages.events.RelativeDragEvent,1
org.openscience.jmol.app.jmolpanel.PdfCreator,2
org.openscience.jmol.app.JmolResourceHandler,1
org.jmol.export.dialog.FilePreview,15
org.jmol.modelkit.ModelKitPopup,10
org.jmol.adapter.readers.CifReader,2
org.jmol.viewer.MeshRenderer,13
org.jmol.bspt.Element,3
org.jmol.shape.Shape,55
org.jmol.shapesurface.MeshFileCollection,2
org.openscience.jmol.app.AppConsole,5
org.jmol.viewer.FrameRenderer,20
org.jmol.constant.EnumProteinStructure,2
org.jmol.shapebio.BackboneRenderer,17
org.jmol.viewer.FrankRenderer,6
org.jmol.adapter.smarter.V3000Reader,5
org.jmol.viewer.Strands,2
org.jmol.awt.console.JmolPrompt,1
org.jmol.viewer.Token,207
