Component, CC
org.mozilla.javascript.ast.XmlRef,2
org.mozilla.javascript.CodeGenerator,3
org.mozilla.javascript.NativeScript,3
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XML,3
mplsrc.org.mozilla.javascript.xmlimpl.XMLCtor,6
src.org.mozilla.javascript.tests.StrictModeApiTest,4
src.org.mozilla.javascript.tools.debugger.Main,4
org.mozilla.javascript.ast.ParenthesizedExpression,1
org.mozilla.javascript.optimizer.InvokeDynamicSupport,4
org.mozilla.javascript.commonjs.module.provider.ModuleSourceProvider,4
org.mozilla.javascript.ast.TryStatement,2
org.mozilla.javascript.Interpreter,49
src.org.mozilla.javascript.tests.NativeArrayTest,3
src.org.mozilla.javascript.tests.DecompileTest,2
src.org.mozilla.javascript.tests.DeletePropertyTest,2
org.mozilla.javascript.commonjs.module.provider.SoftCachingModuleScriptProvider,4
mplsrc.org.mozilla.javascript.xmlimpl.QName,7
org.mozilla.javascript.NativeNumber,6
org.mozilla.javascript.annotations.JSFunction,1
org.mozilla.javascript.ScriptRuntime,82
org.mozilla.javascript.classy.ClassyLayout,5
org.mozilla.javascript.Synchronizer,3
src.org.mozilla.javascript.tests.PrivateAccessClass,5
org.mozilla.classfile.ByteCode,1
src.org.mozilla.javascript.tests.Bug448816Test,3
org.mozilla.javascript.ast.BreakStatement,1
src.org.mozilla.javascript.tests.ContextFactoryTest,4
src.org.mozilla.javascript.tests.ApplyOnPrimitiveNumberTest,2
org.mozilla.javascript.ast.ErrorCollector,2
src.org.mozilla.javascript.tests.FunctionTest,2
src.org.mozilla.javascript.tests.ErrorPropertiesTest,1
src.org.mozilla.javascript.tools.debugger.treetable.AbstractCellEditor,2
src.org.mozilla.javascript.tests.ArrayConcatTest,2
org.mozilla.javascript.FunctionObject,8
org.mozilla.javascript.jdk15.VMBridge_jdk15,9
org.mozilla.javascript.MemberBox,7
src.org.mozilla.javascript.tools.shell.JavaPolicySecurity,4
org.mozilla.javascript.serialize.ScriptableInputStream,2
org.mozilla.javascript.ast.ScriptNode,3
src.org.mozilla.javascript.tests.DefineClassTest,2
org.mozilla.javascript.NativeJavaClass,11
org.mozilla.javascript.ast.XmlElemRef,1
org.mozilla.javascript.serialize.ScriptableOutputStream,7
org.mozilla.javascript.Decompiler,7
org.mozilla.javascript.commonjs.module.provider.UrlModuleSourceProvider,7
org.mozilla.javascript.NativeJavaObject,16
org.mozilla.javascript.NativeJavaTopPackage,5
src.org.mozilla.javascript.tools.SourceReader,3
src.org.mozilla.javascript.tests.es5.ObjectGetOwnPropertyDescriptorTest,1
src.org.mozilla.javascript.tools.shell.ShellContextFactory,7
org.mozilla.javascript.json.JsonParser,11
org.mozilla.javascript.NativeJavaPackage,6
src.org.mozilla.javascript.tests.Bug466207Test,2
src.org.mozilla.javascript.tools.ToolErrorReporter,4
org.mozilla.javascript.ast.ArrayLiteral,1
org.mozilla.javascript.NativeWith,4
org.mozilla.javascript.UniqueTag,1
org.mozilla.javascript.commonjs.module.Require,5
src.org.mozilla.javascript.drivers.StandardTests,16
src.org.mozilla.javascript.tests.Bug421071Test,4
org.mozilla.javascript.TopLevel,2
org.mozilla.javascript.Kit,7
org.mozilla.javascript.NativeJavaArray,6
src.org.mozilla.javascript.tools.debugger.treetable.JTreeTable,3
org.mozilla.javascript.annotations.JSSetter,1
org.mozilla.javascript.commonjs.module.provider.CachingModuleScriptProviderBase,4
org.mozilla.javascript.xml.XMLLib,5
org.mozilla.javascript.Node,29
src.org.mozilla.javascript.tests.es5.ObjectGetOwnPropertyNamesTest,1
src.org.mozilla.javascript.tools.debugger.Dim,6
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLList,1
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLLibImpl,1
org.mozilla.javascript.ast.RegExpLiteral,1
org.mozilla.javascript.ast.ContinueStatement,1
src.org.mozilla.javascript.tests.ObserveInstructionCountTest,9
src.org.mozilla.javascript.tests.Bug467396Test,2
org.mozilla.javascript.NativeJSON,3
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLWithScope,1
org.mozilla.javascript.InterfaceAdapter,1
org.mozilla.javascript.regexp.NativeRegExp,17
mplsrc.org.mozilla.javascript.xmlimpl.XMLObjectImpl,10
org.mozilla.javascript.ast.ArrayComprehension,1
src.org.mozilla.javascript.tests.Bug412433Test,3
org.mozilla.javascript.NativeString,16
src.org.mozilla.javascript.tools.shell.Environment,2
src.org.mozilla.javascript.tests.Bug482203,3
org.mozilla.javascript.ast.SwitchCase,1
org.mozilla.javascript.commonjs.module.provider.StrongCachingModuleScriptProvider,4
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLObjectImpl,3
org.mozilla.javascript.optimizer.Optimizer,7
org.mozilla.javascript.DToA,2
org.mozilla.javascript.ast.AstNode,4
org.mozilla.javascript.EcmaError,2
org.mozilla.javascript.ast.Comment,2
org.mozilla.javascript.NativeDate,11
org.mozilla.javascript.NativeMath,2
org.mozilla.javascript.ast.ForLoop,1
org.mozilla.javascript.NativeJavaConstructor,1
org.mozilla.javascript.Scriptable,2
org.mozilla.javascript.ast.Label,2
org.mozilla.javascript.Delegator,3
src.org.mozilla.javascript.tests.TypeOfTest,2
org.mozilla.javascript.ast.AstRoot,4
org.mozilla.javascript.NativeError,12
org.mozilla.javascript.ast.NewExpression,2
org.mozilla.javascript.ast.ObjectLiteral,1
org.mozilla.javascript.ScriptableObject,59
src.org.mozilla.javascript.tools.idswitch.Main,3
mplsrc.org.mozilla.javascript.xmlimpl.XmlNode,14
org.mozilla.javascript.RegExpProxy,2
org.mozilla.javascript.commonjs.module.provider.UrlConnectionExpiryCalculator,4
org.mozilla.javascript.SpecialRef,2
org.mozilla.javascript.ast.WithStatement,1
org.mozilla.javascript.Arguments,8
org.mozilla.javascript.IdFunctionObject,1
src.org.mozilla.javascript.tests.Evaluator,3
mplsrc.org.mozilla.javascript.xmlimpl.XML,8
org.mozilla.javascript.SecurityController,3
src.org.mozilla.javascript.tools.debugger.treetable.TreeTableModelAdapter,3
org.mozilla.javascript.ScriptStackElement,3
org.mozilla.javascript.NativeIterator,17
src.org.mozilla.javascript.tests.commonjs.module.ComplianceTest,2
