Component, CC
org.apache.catalina.ha.backend.HeartbeatListener,2
org.apache.tomcat.util.bcel.classfile.LineNumber,4
org.apache.catalina.mbeans.GroupMBean,2
org.apache.catalina.tribes.group.interceptors.StaticMembershipInterceptor,1
org.apache.tomcat.util.http.fileupload.IOUtils,1
org.apache.catalina.startup.ConnectorCreateRule,2
org.apache.catalina.ssi.SSIServletRequestUtil,2
org.apache.tomcat.util.modeler.FixedNotificationFilter,2
org.apache.tomcat.util.scan.FileUrlJar,1
org.apache.naming.resources.FileDirContext,11
org.apache.catalina.realm.MemoryRealm,5
org.apache.catalina.core.StandardWrapperFacade,2
org.apache.coyote.http11.filters.IdentityOutputFilter,6
org.apache.tomcat.util.digester.GenericParser,2
org.apache.catalina.core.ApplicationContext,23
org.apache.jasper.xmlparser.EncodingMap,2
org.apache.catalina.core.ApplicationFilterConfig,6
org.apache.catalina.core.DummyResponse,4
org.apache.catalina.tribes.MembershipService,1
org.apache.tomcat.jni.Status,1
org.apache.catalina.tribes.group.interceptors.ThroughputInterceptor,1
org.apache.catalina.core.AsyncContextImpl,31
org.apache.catalina.mbeans.MBeanFactory,12
javax.servlet.FilterChain,1
org.apache.tomcat.util.net.jsse.JSSEImplementation,8
org.apache.tomcat.util.net.SSLImplementation,4
org.apache.tomcat.util.DomUtil,1
org.apache.catalina.ant.FindLeaksTask,1
org.apache.tomcat.jni.Time,1
org.apache.catalina.tribes.membership.McastService,5
org.apache.coyote.RequestInfo,4
org.apache.tomcat.util.file.Matcher,4
org.apache.el.parser.ELParserTokenManager,2
org.apache.catalina.startup.SetNextNamingRule,1
org.apache.tomcat.jni.Lock,1
javax.servlet.RequestDispatcher,1
javax.servlet.jsp.JspContext,2
org.apache.catalina.Cluster,1
javax.annotation.Resource,1
org.apache.catalina.deploy.MultipartDef,1
org.apache.catalina.ha.session.ClusterSessionListener,4
org.apache.tomcat.util.digester.Rules,1
org.apache.catalina.ant.ReloadTask,2
org.apache.el.parser.AstNot,1
org.apache.jasper.compiler.JavacErrorDetail,1
org.apache.tomcat.util.scan.StandardJarScanner,6
org.apache.catalina.tribes.transport.RxTaskPool,1
org.apache.catalina.core.ApplicationFilterChain,9
org.apache.tomcat.util.bcel.classfile.ConstantNameAndType,3
org.apache.el.parser.BooleanNode,1
org.apache.coyote.InputBuffer,1
