Component, CC
voldemort.server.scheduler.slop.RepairJob,22
voldemort.cluster.failuredetector.FailureDetectorUtils,3
voldemort.server.RequestRoutingType,3
voldemort.client.protocol.pb.VAdminProto,37
voldemort.store.DelegatingStore,2
voldemort.client.rebalance.RebalancePartitionsInfo,19
voldemort.server.protocol.admin.AsyncOperationService,2
voldemort.store.bdb.stats.BdbEnvironmentStats,5
voldemort.annotations.jmx.JmxOperation,1
voldemort.store.socket.clientrequest.ClientRequestExecutor,14
voldemort.utils.ReflectUtils,1
voldemort.server.protocol.admin.UpdateSlopEntriesRequestHandler,6
voldemort.client.StoreClientFactory,3
voldemort.xml.StoreDefinitionsMapper,22
voldemort.utils.SelectorManager,3
voldemort.serialization.avro.AvroReflectiveSerializer,8
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreJobRunner,10
voldemort.versioning.InconsistentDataException,2
voldemort.store.stats.StatTrackingStore,4
voldemort.store.socket.clientrequest.ClientRequestExecutorPool,8
adoop-store-builder.src.java.voldemort.store.readonly.checksum.CRC32CheckSum,3
voldemort.store.slop.HintedHandoff,8
voldemort.store.socket.SocketStore,16
voldemort.annotations.concurrency.Threadsafe,1
voldemort.serialization.VoldemortOpCode,3
voldemort.store.readonly.BinarySearchStrategy,2
voldemort.server.protocol.admin.FetchEntriesStreamRequestHandler,10
voldemort.store.routed.action.AbstractKeyBasedAction,6
voldemort.routing.RoutingStrategyType,5
voldemort.utils.FnvHashFunction,2
voldemort.versioning.VectorClock,2
rati.src.java.voldemort.store.krati.KratiStorageConfiguration,5
voldemort.server.http.gui.VelocityEngine,1
voldemort.utils.Props,1
voldemort.client.rebalance.RebalanceCLI,10
voldemort.store.routed.action.PerformParallelDeleteRequests,4
voldemort.annotations.concurrency.NotThreadsafe,1
voldemort.store.InvalidMetadataException,4
c2-testing.src.java.voldemort.utils.impl.RsyncDeployer,1
voldemort.client.CachingStoreClientFactory,6
adoop-store-builder.src.java.voldemort.store.readonly.mr.AbstractStoreBuilderConfigurable,3
voldemort.server.rebalance.RebalancerState,4
c2-testing.src.java.voldemort.utils.app.VoldemortStoresGeneratorApp,1
voldemort.store.routed.action.PerformZoneSerialRequests,5
voldemort.server.scheduler.DataCleanupJob,2
voldemort.store.readonly.chunk.DataFileChunkSetIterator,2
adoop-store-builder.src.java.voldemort.store.readonly.checksum.Adler32CheckSum,3
c2-testing.src.java.voldemort.utils.RemoteOperation,1
voldemort.server.socket.SocketServer,1
adoop-store-builder.src.java.voldemort.store.readonly.benchmark.GenerateData,2
voldemort.client.UpdateAction,3
voldemort.annotations.jmx.JmxParam,1
voldemort.versioning.ObjectMerger,1
voldemort.store.nonblockingstore.NonblockingStoreRequest,4
voldemort.store.rebalancing.RebootstrappingStore,7
voldemort.store.socket.clientrequest.AbstractStoreClientRequest,1
voldemort.server.protocol.admin.AsyncOperationCache,1
voldemort.serialization.SerializationException,1
voldemort.store.compress.CompressingStore,2
voldemort.store.routed.PutPipelineData,6
voldemort.store.socket.clientrequest.DeleteClientRequest,5
voldemort.store.views.ViewStorageConfiguration,7
voldemort.client.protocol.RequestFormatType,4
voldemort.store.readonly.FileFetcher,5
c2-testing.src.java.voldemort.utils.impl.CommandOutputListener,1
voldemort.store.readonly.chunk.ChunkedFileSet,7
voldemort.store.routed.Pipeline,17
voldemort.store.nonblockingstore.NonblockingStoreCallback,2
voldemort.client.HttpStoreClientFactory,8
voldemort.utils.pool.KeyedResourcePool,1
voldemort.routing.ZoneRoutingStrategy,2
c2-testing.src.java.voldemort.utils.RemoteTest,1
voldemort.server.AbstractSocketService,1
voldemort.store.routed.action.PerformSerialRequests,15
voldemort.serialization.json.JsonTypes,1
c2-testing.src.java.voldemort.utils.Ec2Connection,2
voldemort.store.slop.strategy.ConsistentHandoffStrategy,2
voldemort.store.routed.action.Action,7
voldemort.client.protocol.pb.ProtoBuffClientRequestFormat,7
voldemort.store.PersistenceFailureException,1
voldemort.client.rebalance.RebalanceClusterPlan,24
c2-testing.src.java.voldemort.utils.app.VoldemortClusterGeneratorApp,1
voldemort.serialization.json.JsonTypeDefinition,1
voldemort.utils.KeyDistributionGenerator,9
voldemort.store.routed.action.AbstractReadRepair,6
voldemort.VoldemortException,2
voldemort.store.http.HttpResponseCodeErrorMapper,1
voldemort.server.protocol.vold.VoldemortNativeRequestHandler,14
voldemort.utils.SelectorManagerWorker,7
voldemort.server.VoldemortService,1
c2-testing.src.java.voldemort.utils.impl.SshClusterStarter,1
voldemort.store.socket.clientrequest.BlockingClientRequest,7
voldemort.utils.ConstantHashFunction,1
voldemort.VoldemortApplicationException,5
c2-testing.src.java.voldemort.utils.ClusterStopper,1
voldemort.store.routed.ReadRepairer,3
voldemort.versioning.FailingInconsistencyResolver,3
voldemort.cluster.failuredetector.FailureDetectorListener,1
voldemort.store.routed.GetAllPipelineData,8
voldemort.store.routed.action.PerformDeleteHintedHandoff,8
voldemort.store.readonly.swapper.AdminStoreSwapper,13
voldemort.store.views.UnsupportedViewOperationException,2
voldemort.store.routed.BasicPipelineData,6
voldemort.server.http.VoldemortServletContextListener,1
c2-testing.src.java.voldemort.utils.impl.StdOutCommandOutputListener,1
voldemort.serialization.DefaultSerializerFactory,7
c2-testing.src.java.voldemort.utils.ClusterStarter,1
voldemort.store.compress.lzf.LZFChunk,1
voldemort.store.compress.lzf.LZFEncoder,1
voldemort.server.rebalance.AlreadyRebalancingException,2
voldemort.store.mysql.MysqlStorageConfiguration,1
voldemort.cluster.failuredetector.BasicStoreVerifier,4
voldemort.store.socket.clientrequest.GetClientRequest,9
voldemort.annotations.concurrency.Immutable,1
voldemort.cluster.Cluster,6
voldemort.serialization.SlopSerializer,2
voldemort.utils.ClosableIterator,1
voldemort.client.ClientConfig,24
voldemort.client.rebalance.RebalanceNodePlan,1
voldemort.store.routed.RoutedStoreFactory,9
voldemort.store.routed.action.PerformParallelGetAllRequests,13
voldemort.store.StoreOperationFailureException,6
voldemort.utils.Entropy,6
voldemort.server.gossip.GossipService,4
voldemort.server.socket.AdminService,1
voldemort.store.rebalancing.ProxyUnreachableException,3
voldemort.store.stats.DataSetStats,3
voldemort.store.routed.ThreadPoolRoutedStore,4
voldemort.serialization.SerializerFactory,1
voldemort.store.slop.strategy.HintedHandoffStrategy,1
voldemort.store.routed.action.ReadRepair,10
voldemort.utils.Time,1
voldemort.store.routed.PipelineData,11
voldemort.client.protocol.pb.VProto,8
voldemort.store.gzip.GzipStore,2
voldemort.store.routed.action.ConfigureNodes,13
voldemort.store.stats.SlopStats,4
voldemort.utils.CachedCallable,2
adoop-store-builder.src.java.voldemort.store.readonly.benchmark.BuildTestStore,3
voldemort.routing.RoutingStrategy,4
voldemort.client.protocol.RequestFormat,5
voldemort.versioning.Occurred,1
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreBuilderReducer,24
voldemort.store.mysql.MysqlStorageEngine,5
voldemort.server.rebalance.Rebalancer,44
voldemort.store.views.ViewStorageEngine,7
voldemort.store.versioned.InconsistencyResolvingStore,2
adoop-store-builder.src.java.voldemort.store.readonly.fetcher.ConfigurableSocketFactory,3
voldemort.store.StorageEngine,5
c2-testing.src.java.voldemort.utils.impl.ExitCodeCallable,1
voldemort.cluster.failuredetector.ServerStoreVerifier,7
voldemort.serialization.json.JsonTypeSerializer,1
voldemort.server.protocol.SocketRequestHandlerFactory,10
voldemort.store.StoreRequest,4
voldemort.versioning.Versioned,5
voldemort.server.gossip.Gossiper,5
voldemort.store.routed.action.PerformParallelPutRequests,29
voldemort.store.routed.action.GetAllConfigureNodes,9
c2-testing.src.java.voldemort.utils.Deployer,1
voldemort.store.compress.lzf.ChunkEncoder,1
voldemort.store.socket.clientrequest.ClientRequestExecutorFactory,12
voldemort.server.protocol.admin.AsyncOperationStatus,3
voldemort.server.protocol.admin.UpdatePartitionEntriesStreamRequestHandler,8
voldemort.server.scheduler.SchedulerService,10
voldemort.store.socket.clientrequest.GetAllClientRequest,6
c2-testing.src.java.voldemort.utils.app.VoldemortEc2InstanceCreatorApp,2
voldemort.cluster.Node,4
voldemort.store.readonly.ReadOnlyUtils,12
voldemort.store.readonly.swapper.HttpStoreSwapper,12
voldemort.client.SocketStoreClientFactory,16
voldemort.client.protocol.pb.ProtoUtils,4
voldemort.store.routed.action.GetAllReadRepair,4
voldemort.server.http.gui.StatusServlet,4
voldemort.versioning.ObsoleteVersionException,5
voldemort.store.StoreDefinition,16
voldemort.routing.RoutingStrategyFactory,2
adoop-store-builder.src.java.voldemort.store.readonly.mr.AbstractHadoopStoreBuilderMapper,12
voldemort.server.StoreRepository,11
voldemort.store.routed.Response,5
voldemort.client.rebalance.RebalanceClientConfig,5
voldemort.store.serialized.SerializingStorageEngine,4
voldemort.server.protocol.pb.ProtoBuffRequestHandler,6
voldemort.store.slop.SlopStorageEngine,12
voldemort.serialization.thrift.ThriftSerializer,2
voldemort.store.routed.action.IncrementClock,7
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreBuilder,31
voldemort.store.readonly.ExternalSorter,2
voldemort.utils.StringOutputStream,1
voldemort.store.stats.StreamStats,4
voldemort.store.readonly.SearchStrategy,1
voldemort.server.http.StoreServlet,2
voldemort.server.protocol.admin.AsyncOperation,4
voldemort.store.compress.lzf.LZFDecoder,1
voldemort.utils.StripedLock,1
voldemort.store.compress.GzipCompressionStrategy,1
voldemort.versioning.InconsistencyResolver,1
voldemort.store.readonly.StringSorter,1
voldemort.versioning.Version,2
voldemort.store.http.HttpStore,3
voldemort.store.readonly.JsonStoreBuilder,19
voldemort.server.http.gui.QueryServlet,4
voldemort.store.readonly.ReadOnlyStorageConfiguration,5
voldemort.server.protocol.RequestHandlerFactory,2
voldemort.store.StoreUtils,5
voldemort.utils.JmxUtils,2
adoop-store-builder.src.java.voldemort.store.readonly.checksum.MD5CheckSum,3
voldemort.store.readonly.ReadOnlyStorageEngine,38
voldemort.store.memory.InMemoryStorageEngine,5
voldemort.server.protocol.admin.AdminServiceRequestHandler,84
voldemort.server.rebalance.RebalancerService,5
voldemort.utils.WriteThroughCache,1
voldemort.client.protocol.admin.AdminClient,90
voldemort.server.storage.StorageService,69
voldemort.utils.SystemTime,1
voldemort.utils.NetworkClassLoader,2
voldemort.store.routed.PipelineRoutedStore,32
voldemort.client.protocol.admin.SocketAndStreams,1
c2-testing.src.java.voldemort.utils.ClusterCleaner,1
voldemort.store.stats.RequestCounter,7
voldemort.store.routed.action.AbstractAction,12
voldemort.store.stats.StreamStatsJmx,2
voldemort.client.protocol.RequestFormatFactory,3
c2-testing.src.java.voldemort.utils.HostNamePair,1
voldemort.serialization.ObjectSerializer,1
voldemort.store.StorageInitializationException,1
voldemort.store.readonly.swapper.StoreSwapper,13
voldemort.serialization.StringSerializer,1
voldemort.server.scheduler.RebalancingJob,4
voldemort.utils.ByteBufferBackedOutputStream,2
voldemort.VoldemortClientShell,9
voldemort.server.VoldemortConfig,60
voldemort.utils.ByteBufferBackedInputStream,1
voldemort.utils.RebalanceUtils,48
voldemort.cluster.Zone,3
voldemort.store.routed.action.PerformParallelRequests,30
voldemort.store.stats.ClusterWideCounter,5
voldemort.store.routed.action.PerformSerialGetAllRequests,9
voldemort.store.socket.clientrequest.ClientRequest,4
voldemort.cluster.failuredetector.StoreVerifier,3
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreBuilderReducerPerBucket,1
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreBuilderUtils,3
c2-testing.src.java.voldemort.utils.app.VoldemortClusterStarterApp,1
voldemort.client.ClientThreadPool,1
voldemort.server.http.HttpService,3
voldemort.store.routed.action.AbstractConfigureNodes,6
voldemort.annotations.jmx.JmxManaged,1
voldemort.store.NoSuchCapabilityException,1
voldemort.serialization.protobuf.ProtoBufSerializer,1
voldemort.cluster.failuredetector.BannagePeriodFailureDetector,5
voldemort.utils.pool.ResourcePoolConfig,2
voldemort.client.protocol.admin.AdminClientConfig,8
voldemort.client.protocol.VoldemortFilter,1
voldemort.store.readonly.ReadOnlyStorageMetadata,2
voldemort.client.protocol.admin.SocketPool,2
voldemort.store.memory.InMemoryStorageConfiguration,2
voldemort.store.nonblockingstore.NonblockingStore,4
voldemort.versioning.ClockEntry,1
voldemort.store.bdb.BdbRuntimeConfig,2
c2-testing.src.java.voldemort.utils.impl.SshRemoteTest,1
adoop-store-builder.src.java.voldemort.store.readonly.fetcher.HdfsFetcher,27
voldemort.cluster.failuredetector.FailureDetector,6
voldemort.store.memory.CacheStorageConfiguration,2
voldemort.cluster.failuredetector.ThresholdFailureDetector,15
voldemort.client.DefaultStoreClient,17
voldemort.client.rebalance.RebalanceController,45
voldemort.server.protocol.RequestHandler,3
voldemort.utils.UndefinedPropertyException,1
voldemort.routing.RouteToAllStrategy,4
voldemort.store.Store,2
voldemort.server.VoldemortJsvcDaemon,1
voldemort.store.stats.StoreStats,4
voldemort.store.slop.strategy.ProximityHandoffStrategy,2
voldemort.store.versioned.VersionIncrementingStore,3
voldemort.server.ServiceType,1
rati.src.java.voldemort.store.krati.KratiStorageEngine,8
voldemort.store.socket.clientrequest.PutClientRequest,6
voldemort.store.InsufficientZoneResponsesException,1
c2-testing.src.java.voldemort.utils.impl.LoggingCommandOutputListener,1
voldemort.server.socket.SocketService,1
voldemort.versioning.ArbitraryInconsistencyResolver,3
voldemort.store.routed.action.PerformSerialPutRequests,16
voldemort.server.niosocket.AsyncRequestHandler,11
voldemort.server.niosocket.NioSelectorManager,2
voldemort.store.routed.action.AbstractHintedHandoffAction,5
voldemort.serialization.SerializerDefinition,1
voldemort.store.logging.LoggingStore,3
voldemort.store.routed.action.PerformPutHintedHandoff,8
c2-testing.src.java.voldemort.utils.StoresGenerator,1
voldemort.store.UnreachableStoreException,2
voldemort.client.StoreClient,8
voldemort.annotations.concurrency.LockedBy,1
voldemort.serialization.thrift.MemoryBuffer,1
voldemort.routing.ConsistentRoutingStrategy,8
voldemort.utils.HashFunction,1
voldemort.store.configuration.ConfigurationStorageEngine,5
voldemort.server.http.gui.AdminServlet,2
voldemort.utils.DefaultIterable,1
voldemort.utils.EventThrottler,2
voldemort.client.protocol.admin.SocketResourceFactory,3
c2-testing.src.java.voldemort.utils.impl.CommandLineParser,1
voldemort.serialization.IdentitySerializer,2
voldemort.store.routed.NodeValue,5
voldemort.serialization.VSlopProto,2
voldemort.store.compress.lzf.LZF,1
voldemort.store.stats.StoreStatsJmx,4
adoop-store-builder.src.java.voldemort.store.readonly.mr.HdfsDataFileChunk,1
voldemort.store.socket.SocketStoreFactory,3
voldemort.store.nonblockingstore.ThreadPoolBasedNonblockingStoreImpl,7
voldemort.utils.CmdUtils,2
voldemort.cluster.failuredetector.NodeStatus,4
voldemort.server.AbstractService,1
voldemort.server.protocol.AbstractRequestHandler,5
voldemort.store.invalidmetadata.InvalidMetadataCheckingStore,5
voldemort.utils.pool.ResourceFactory,2
voldemort.client.AbstractStoreClientFactory,28
voldemort.store.rebalancing.RedirectingStore,28
voldemort.store.slop.strategy.HandoffToAnyStrategy,1
voldemort.server.http.gui.ReadOnlyStoreManagementServlet,24
voldemort.store.socket.clientrequest.AbstractClientRequest,7
voldemort.server.scheduler.slop.StreamingSlopPusherJob,19
c2-testing.src.java.voldemort.utils.impl.SshClusterStopper,1
voldemort.serialization.json.JsonReader,1
voldemort.store.serialized.SerializingStore,4
voldemort.client.rebalance.OrderedClusterTransition,1
voldemort.utils.pool.ExcessiveInvalidResourcesException,1
voldemort.serialization.avro.AvroGenericSerializer,6
voldemort.server.socket.SocketServerSession,2
c2-testing.src.java.voldemort.utils.app.VoldemortEc2InstanceTerminatorApp,1
voldemort.versioning.MergingInconsistencyResolver,3
voldemort.VoldemortAdminTool,42
voldemort.store.InsufficientOperationalNodesException,4
voldemort.store.bdb.BdbStorageEngine,15
voldemort.serialization.Serializer,1
voldemort.server.niosocket.NioSocketService,5
voldemort.store.UnknownFailure,2
voldemort.xml.ClusterMapper,6
voldemort.store.readonly.ReadOnlyStorageFormat,3
voldemort.serialization.json.JsonWriter,2
voldemort.store.slop.Slop,6
voldemort.utils.ByteUtils,3
voldemort.client.protocol.vold.VoldemortNativeClientRequestFormat,9
voldemort.store.readonly.chunk.LocalDataFileChunk,1
voldemort.cluster.failuredetector.FailureDetectorConfig,16
voldemort.serialization.avro.AvroSpecificSerializer,7
voldemort.store.slop.strategy.HintedHandoffStrategyType,1
voldemort.versioning.VectorClockInconsistencyResolver,4
voldemort.store.bdb.BdbStorageConfiguration,17
c2-testing.src.java.voldemort.utils.impl.CommandLineParameterizer,1
voldemort.store.socket.SocketDestination,6
voldemort.store.readonly.InterpolationSearchStrategy,3
voldemort.server.rebalance.VoldemortRebalancingException,2
c2-testing.src.java.voldemort.utils.app.VoldemortApp,5
voldemort.store.StoreDefinitionBuilder,11
voldemort.server.VoldemortServer,16
voldemort.serialization.SerializationUtils,4
voldemort.store.metadata.MetadataStoreListener,2
voldemort.client.MockStoreClientFactory,3
voldemort.store.slop.strategy.HintedHandoffStrategyFactory,2
c2-testing.src.java.voldemort.utils.impl.UnixCommand,1
voldemort.versioning.ChainedResolver,3
voldemort.server.protocol.admin.FetchStreamRequestHandler,10
adoop-store-builder.src.java.voldemort.store.readonly.mr.HadoopStoreBuilderPartitioner,6
voldemort.store.views.View,4
voldemort.store.StorageConfiguration,2
voldemort.store.ErrorCodeMapper,4
voldemort.utils.KeyLocationValidation,2
c2-testing.src.java.voldemort.utils.ClusterGenerator,11
c2-testing.src.java.voldemort.utils.impl.CommandLineRemoteOperation,1
voldemort.utils.DirectoryIterator,1
voldemort.server.scheduler.slop.BlockingSlopPusherJob,8
voldemort.client.BootstrapFailureException,1
voldemort.cluster.failuredetector.AsyncRecoveryFailureDetector,12
voldemort.store.readonly.chunk.DataFileChunk,1
c2-testing.src.java.voldemort.utils.ClusterNodeDescriptor,3
voldemort.server.protocol.StreamRequestHandler,3
voldemort.server.rebalance.RebalanceAsyncOperation,12
voldemort.client.LazyStoreClient,5
voldemort.server.protocol.admin.FetchPartitionFileStreamRequestHandler,13
voldemort.store.routed.RoutedStore,36
voldemort.store.socket.clientrequest.ProtocolNegotiatorClientRequest,5
voldemort.server.jmx.JmxService,4
voldemort.client.RoutingTier,1
voldemort.versioning.TimeBasedInconsistencyResolver,3
voldemort.store.views.AbstractViewTransformation,4
voldemort.cluster.failuredetector.NoopFailureDetector,2
voldemort.serialization.VersionedSerializer,1
voldemort.utils.DaemonThreadFactory,1
voldemort.server.protocol.admin.FetchKeysStreamRequestHandler,7
c2-testing.src.java.voldemort.utils.impl.SshClusterCleaner,1
voldemort.store.readonly.chunk.DataFileChunkSet,1
voldemort.store.metadata.MetadataStore,31
voldemort.cluster.failuredetector.ClientStoreVerifier,4
voldemort.utils.Utils,7
c2-testing.src.java.voldemort.utils.impl.TypicaEc2Connection,4
c2-testing.src.java.voldemort.utils.impl.DelegatingCommandOutputListener,1
voldemort.store.socket.clientrequest.GetVersionsClientRequest,5
voldemort.cluster.failuredetector.AbstractFailureDetector,15
adoop-store-builder.src.java.voldemort.store.readonly.checksum.CheckSum,5
