Component, CC
freemind.main.Tools,10
freemind.view.MapModule,1
plugins.svg.ExportPdfPapers,1
freemind.modes.mindmapmode.attributeactors.AssignAttributeDialog,1
freemind.extensions.DontSaveMarker,1
freemind.controller.Controller,15
freemind.modes.mindmapmode.actions.DeleteChildAction,1
freemind.main.FreeMindStarter,1
freemind.modes.common.actions.FindAction,1
freemind.view.mindmapview.IndependantMapViewCreator,5
freemind.modes.mindmapmode.actions.xml.ActionPair,1
freemind.main.FreeMindApplet,4
plugins.collaboration.database.DatabaseConnector,3
plugins.collaboration.database.DatabaseConnectionHook,2
freemind.modes.mindmapmode.attributeactors.AttributeManagerDialog,1
freemind.modes.mindmapmode.actions.CloudAction,1
accessories.plugins.ClonePlugin,20
freemind.modes.viewmodes.ViewControllerAdapter,1
freemind.main.EditServer,2
freemind.modes.mindmapmode.actions.NodeUpAction,1
freemind.modes.ControllerAdapter,13
accessories.plugins.time.TimeList,5
freemind.modes.filemode.FileController,1
freemind.controller.FreeMindToolBar,1
plugins.svg.ExportPdfDialog,1
freemind.modes.MindMapNode,2
freemind.modes.mindmapmode.actions.MindMapActions,3
tests.freemind.TransformTest,1
freemind.modes.MindMap,4
freemind.modes.mindmapmode.actions.NodeHookAction,3
plugins.svg.ExportPdf,5
freemind.controller.MapModuleManager,4
freemind.preferences.layout.OptionPanel,4
freemind.controller.LastStateStorageManagement,4
plugins.collaboration.database.DatabaseBasics,5
freemind.main.FreeMindSplashModern,1
freemind.controller.MenuItemEnabledListener,1
accessories.plugins.NodeHistory,1
tests.freemind.MindMapControllerMock,2
accessories.plugins.JumpLastEditLocation,6
accessories.plugins.time.TimeManagement,4
freemind.main.FeedBack,1
freemind.controller.NodeDragListener,1
de.foltin.CompileXsdStart,2
freemind.modes.MapAdapter,3
tests.freemind.LastStorageManagementTests,3
freemind.view.mindmapview.MainView,2
freemind.modes.mindmapmode.actions.PasteAction,5
freemind.main.FreeMind,21
freemind.main.FreeMindCommon,3
plugins.script.ScriptingRegistration,2
freemind.extensions.ExportHook,1
accessories.plugins.ShadowClonePlugin,1
accessories.plugins.time.JTripleCalendar,1
plugins.collaboration.database.UpdateThread,6
tests.freemind.PrintGraphics,1
freemind.modes.mindmapmode.actions.RevertAction,2
tests.freemind.MindMapMock,2
tests.freemind.ToolsTests,1
freemind.controller.MainToolBar,1
freemind.modes.mindmapmode.MindMapMode,1
freemind.controller.MindMapNodesSelection,3
freemind.modes.mindmapmode.listeners.MindMapNodeDropListener,1
freemind.controller.LastOpenedList,2
accessories.plugins.util.xslt.ExportDialog,1
freemind.controller.filter.FilterController,2
accessories.plugins.ExportWithXSLT,1
plugins.svg.ExportVectorGraphic,1
accessories.plugins.ClonePasteAction,8
freemind.modes.ModeController,2
accessories.plugins.time.JDayChooser,2
freemind.main.FreeMindMain,5
tests.freemind.findreplace.TestMindMapNode,1
freemind.controller.MenuBar,2
freemind.view.mindmapview.MapView,10
freemind.modes.NodeAdapter,3
freemind.modes.browsemode.BrowseMapModel,1
freemind.modes.mindmapmode.MindMapController,17
accessories.plugins.ChangeNodeLevelAction,1
tests.freemind.AllTests,2
freemind.modes.filemode.FileMapModel,1
tests.freemind.ExportTests,9
freemind.modes.browsemode.BrowseController,2
tests.freemind.FreeMindMainMock,5
freemind.modes.filemode.FileMode,1
freemind.view.mindmapview.NodeView,2
plugins.collaboration.database.DatabaseStarter,3
freemind.modes.mindmapmode.MindMapMapModel,5
