Component, CC
org.hsqldb.util.TransferTable,3
org.hsqldb.ConstraintCore,2
org.hsqldb.test.TestSelf,3
org.hsqldb.util.TransferDb,3
org.hsqldb.lib.HsqlDeque,1
org.hsqldb.Servlet,2
org.hsqldb.WebServer,1
org.hsqldb.ServerConfiguration,1
org.hsqldb.Column,3
org.hsqldb.PointerNode,2
org.hsqldb.test.TestUtil,1
org.hsqldb.Library,3
org.hsqldb.Transaction,2
org.hsqldb.util.Transfer,4
org.hsqldb.util.JDBCTypes,1
org.hsqldb.util.McKoiTransferHelper,1
org.hsqldb.TableFilter,5
org.hsqldb.util.GridSwing,2
org.hsqldb.jdbc.jdbcConnection,3
org.hsqldb.lib.InOutUtil,1
org.hsqldb.lib.ArrayUtil,2
org.hsqldb.lib.Storage,1
org.hsqldb.CompiledStatement,1
org.hsqldb.scriptio.ScriptWriterZipped,1
org.hsqldb.lib.ZipUnzipFile,3
org.hsqldb.jdbc.jdbcDatabaseMetaData,2
org.hsqldb.scriptio.ScriptReaderZipped,3
org.hsqldb.lib.StringComparator,1
org.hsqldb.test.TestCollation,1
org.hsqldb.persist.Log,5
org.hsqldb.persist.TextCache,3
org.hsqldb.persist.RAShadowFile,2
org.hsqldb.rowio.RowInputBase,2
org.hsqldb.persist.HsqlDatabaseProperties,3
org.hsqldb.Select,3
org.hsqldb.util.ZaurusConnectionDialog,1
org.hsqldb.lib.HsqlTimer,1
org.hsqldb.persist.DataFileCache,6
org.hsqldb.test.TestStoredProcedure,1
org.hsqldb.lib.HsqlByteArrayInputStream,1
org.hsqldb.test.AllTests,1
org.hsqldb.jdbc.jdbcCallableStatement,2
org.hsqldb.Function,2
org.hsqldb.persist.ScriptRunner,1
org.hsqldb.scriptio.ScriptReaderBinary,4
org.hsqldb.jdbc.jdbcClob,3
org.hsqldb.sample.Testdb,1
org.hsqldb.persist.Logger,2
org.hsqldb.rowio.RowInputBinary,1
org.hsqldb.Session,2
org.hsqldb.jdbc.jdbcBlob,2
org.hsqldb.CachedRow,2
org.hsqldb.DatabaseManager,2
org.hsqldb.util.CommonSwing,1
org.hsqldb.DatabaseCommandInterpreter,5
org.hsqldb.User,2
org.hsqldb.persist.HsqlProperties,3
org.hsqldb.lib.FileAccess,1
org.hsqldb.Like,2
org.hsqldb.TextTable,1
org.hsqldb.HsqlDateTime,1
org.hsqldb.lib.RCData,1
org.hsqldb.util.DatabaseManagerCommon,4
org.hsqldb.test.TestJDBCSavepoints,1
org.hsqldb.SetFunction,1
org.hsqldb.Constraint,2
org.hsqldb.jdbc.jdbcDataSource,2
org.hsqldb.lib.ArrayCounter,1
org.hsqldb.persist.ScaledRAInterface,2
org.hsqldb.HSQLClientConnection,1
org.hsqldb.util.ConnectionDialog,1
org.hsqldb.lib.ResourceStreamProvider,2
org.hsqldb.Parser,1
org.hsqldb.Token,2
org.hsqldb.lib.LongKeyIntValueHashMap,1
org.hsqldb.test.TestTextTables,1
org.hsqldb.test.TestAllTypes,1
org.hsqldb.lib.HsqlByteArrayOutputStream,2
org.hsqldb.rowio.RowOutputBinary,1
org.hsqldb.lib.BaseList,1
org.hsqldb.util.ShutdownServer,1
org.hsqldb.util.CodeSwitcher,2
org.hsqldb.lib.FileUtil,2
org.hsqldb.util.HsqldbTransferHelper,1
org.hsqldb.test.TestScript,1
org.hsqldb.util.SQLStatements,2
org.hsqldb.SessionManager,1
org.hsqldb.persist.LockFile,2
org.hsqldb.test.TestCacheSize,3
org.hsqldb.test.TestTextTable,2
org.hsqldb.test.JDBCBench,1
org.hsqldb.util.DatabaseManager,2
org.hsqldb.rowio.RowInputTextQuoted,1
org.hsqldb.lib.SimpleLog,1
org.hsqldb.MemoryNode,2
org.hsqldb.lib.StringInputStream,1
org.hsqldb.util.Grid,3
org.hsqldb.util.ConnectionDialogSwing,1
org.hsqldb.jdbc.jdbcParameterMetaData,2
org.hsqldb.jdbc.Util,1
org.hsqldb.Server,2
org.hsqldb.DatabaseInformation,1
org.hsqldb.ServerConnection,6
org.hsqldb.lib.WrapperIterator,1
org.hsqldb.util.TransferHelper,2
org.hsqldb.util.QueryTool,2
org.hsqldb.persist.CachedObject,1
org.hsqldb.Tokenizer,1
org.hsqldb.scriptio.ScriptWriterBase,1
org.hsqldb.lib.Sort,2
org.hsqldb.HsqlNameManager,1
org.hsqldb.DatabaseScript,3
org.hsqldb.scriptio.ScriptReaderText,4
org.hsqldb.DatabaseInformationFull,1
org.hsqldb.jdbc.jdbcResultSet,3
org.hsqldb.persist.ScaledRAFileNIO,2
org.hsqldb.persist.ScaledRAFile,3
org.hsqldb.UserManager,2
org.hsqldb.persist.ScaledRAFileHybrid,2
org.hsqldb.lib.ObjectComparator,1
org.hsqldb.jdbc.jdbcStatement,2
org.hsqldb.lib.StringUtil,2
org.hsqldb.TableWorks,1
org.hsqldb.DatabaseInformationMain,2
org.hsqldb.lib.IntLookup,1
org.hsqldb.util.Tree,3
org.hsqldb.Table,4
org.hsqldb.util.DatabaseManagerSwing,3
org.hsqldb.Result,2
org.hsqldb.DatabaseURL,2
org.hsqldb.Index,5
org.hsqldb.util.MainInvoker,1
org.hsqldb.persist.ScaledRAFileInJar,5
org.hsqldb.DiskNode,2
org.hsqldb.Expression,5
org.hsqldb.sample.FindFile,1
org.hsqldb.persist.Cache,1
org.hsqldb.util.TransferCommon,2
org.hsqldb.persist.DataFileBlockManager,1
org.hsqldb.Trace,1
org.hsqldb.HsqlServerFactory,1
org.hsqldb.lib.StringConverter,3
org.hsqldb.Record,2
org.hsqldb.lib.HsqlArrayHeap,1
org.hsqldb.lib.Set,1
org.hsqldb.lib.DoubleIntIndex,1
org.hsqldb.util.ZaurusTableForm,1
org.hsqldb.util.ConnectionDialogCommon,1
org.hsqldb.lib.Collection,1
org.hsqldb.util.ZaurusDatabaseManager,1
org.hsqldb.Database,3
org.hsqldb.jdbc.jdbcPreparedStatement,2
org.hsqldb.BaseMemoryNode,2
org.hsqldb.scriptio.ScriptWriterText,2
org.hsqldb.Node,2
org.hsqldb.jdbc.jdbcResultSetMetaData,3
org.hsqldb.SchemaManager,1
org.hsqldb.Row,2
