Component, CC
org.gjt.sp.jedit.indent.IndentRuleFactory,14
org.gjt.sp.jedit.bufferio.BufferAutosaveRequest,9
jars.MacOS.macos.Handler,4
org.gjt.sp.jedit.bsh.Capabilities,3
org.gjt.sp.jedit.bsh.CommandLineReader,3
org.gjt.sp.jedit.gui.SelectLineRange,10
org.gjt.sp.jedit.bufferset.BufferSet,27
org.gjt.sp.jedit.ModeCatalogHandler,16
org.gjt.sp.jedit.options.GeneralOptionPane,58
org.gjt.sp.jedit.textarea.TextAreaHighlight,8
org.gjt.sp.jedit.gui.HistoryModelSaver,4
org.gjt.sp.jedit.textarea.ColumnBlockLine,4
bsh.reflect.ReflectManagerImpl,2
net.sourceforge.jarbundler.PropertyListWriter,4
org.gjt.sp.jedit.browser.AbstractBrowserTask,2
org.objectweb.asm.CodeVisitor,2
org.gjt.sp.jedit.options.IntegerInputVerifier,1
org.gjt.sp.jedit.gui.CurrentDirectoryMenu,16
org.gjt.sp.util.XMLUtilities,9
bsh.org.objectweb.asm.ClassWriter,2
org.gjt.sp.util.CharIndexedSegment,5
org.gjt.sp.jedit.bsh.Primitive,3
org.gjt.sp.jedit.ActionContext,17
org.gjt.sp.util.PropertiesBean,8
gnu.regexp.RETokenStart,2
org.gjt.sp.jedit.bsh.ClassGenerator,3
org.gjt.sp.jedit.datatransfer.JEditTransferable,1
org.gjt.sp.jedit.textarea.TextRenderer2D,4
org.gjt.sp.jedit.bsh.TargetError,3
org.gjt.sp.jedit.help.HelpViewerDialog,4
org.gjt.sp.jedit.gui.statusbar.ToolTipLabel,3
org.gjt.sp.jedit.textarea.Gutter,140
org.gjt.sp.jedit.options.BrowserContextOptionPane,3
bsh.This,12
org.gjt.sp.jedit.bsh.BSHArguments,3
bsh.BSHTryStatement,12
org.gjt.sp.jedit.gui.statusbar.TaskMonitorWidgetFactory,3
org.gjt.sp.jedit.Buffer,567
org.gjt.sp.jedit.bsh.BSHCastExpression,3
org.gjt.sp.jedit.options.PluginManagerOptionPane,27
org.gjt.sp.jedit.datatransfer.JEditDataFlavor,2
org.gjt.sp.jedit.bsh.BSHThrowStatement,3
jars.MacOS.com.apple.eawt.Application,4
org.gjt.sp.jedit.gui.BufferOptions,76
org.gjt.sp.jedit.bsh.collection.CollectionIterator,4
gnu.regexp.CharIndexed,4
org.gjt.sp.jedit.proto.jeditresource.Handler,6
installer.ConsoleProgress,7
org.gjt.sp.jedit.pluginmgr..PluginManager,4
org.gjt.sp.jedit.buffer.FoldHandler,44
org.gjt.sp.jedit.textarea.ShapedFoldPainter,5
jars.Firewall.FirewallOptionPane,2
org.gjt.sp.jedit.textarea.TextRenderer,6
org.gjt.sp.util.StringList,10
org.gjt.sp.jedit.bsh.BSHBlock,3
org.gjt.sp.jedit.io.GlobVFSFileFilter,5
jars.MacOS.macos.MacOSPlugin,28
jars.MacOS.com.apple.cocoa.application.NSPasteboard,4
org.gjt.sp.jedit.gui.StyleEditor,6
gnu.regexp.RETokenRepeated,2
org.gjt.sp.jedit.gui..BufferSwitcher,4
org.gjt.sp.jedit.help.HelpViewerInterface,14
org.gjt.sp.jedit.gui.StatusBar,158
