Component, CC
org.gjt.sp.jedit.bufferio.BufferAutosaveRequest,1
org.gjt.sp.jedit.options.ShortcutsOptionPane,2
org.gjt.sp.jedit.textarea.BufferHandler,1
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable,3
org.gjt.sp.jedit.gui.OptionsDialog,1
org.gjt.sp.jedit.bufferset.BufferSet,1
org.gjt.sp.jedit.io.FavoritesVFS,5
org.gjt.sp.jedit.menu.EnhancedCheckBoxMenuItem,2
org.gjt.sp.jedit.buffer.ContentManager,1
org.gjt.sp.jedit.ModeCatalogHandler,1
org.gjt.sp.jedit.browser.BrowserCommandsMenu,1
org.gjt.sp.jedit.options.GeneralOptionPane,4
org.gjt.sp.util.WorkThreadPool,2
org.gjt.sp.jedit.textarea.ColumnBlockLine,4
org.gjt.sp.jedit.browser.AbstractBrowserTask,2
org.gjt.sp.jedit.pluginmgr.KeyboardCommand,1
org.gjt.sp.jedit.options.EncodingsOptionPane,1
org.gjt.sp.jedit.gui.CompleteWord,1
org.gjt.sp.jedit.options.IntegerInputVerifier,1
org.gjt.sp.util.XMLUtilities,1
org.gjt.sp.jedit.textarea.ElasticTabstopsTabExpander,2
org.gjt.sp.jedit.options.ContextOptionPane,4
org.gjt.sp.jedit.browser.BrowserView,3
org.gjt.sp.jedit.BeanShellFacade,1
org.gjt.sp.jedit.ActionContext,1
org.gjt.sp.jedit.MiscUtilities,11
org.gjt.sp.jedit.io.UrlVFS,1
org.gjt.sp.util.WorkThread,2
org.gjt.sp.jedit.options.SaveBackupOptionPane,1
org.gjt.sp.jedit.textarea.Gutter,2
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,2
org.gjt.sp.jedit.AbstractOptionPane,1
org.gjt.sp.jedit.options.BrowserContextOptionPane,3
org.gjt.sp.jedit.Buffer,20
org.gjt.sp.jedit.gui.statusbar.TaskMonitorWidgetFactory,3
org.gjt.sp.jedit.options.PluginManagerOptionPane,2
org.gjt.sp.jedit.io.VFSFileFilter,2
org.gjt.sp.jedit.options.BufferOptionPane,1
org.gjt.sp.jedit.syntax.XModeHandler,1
org.gjt.sp.jedit.buffer.FoldHandler,2
org.gjt.sp.jedit.textarea.ShapedFoldPainter,1
org.gjt.sp.jedit.Macros,1
org.gjt.sp.jedit.buffer.BufferChangeListener,1
org.gjt.sp.jedit.indent.CloseBracketIndentRule,1
org.gjt.sp.jedit.syntax.TokenMarker,3
org.gjt.sp.jedit.textarea.TextArea,24
org.gjt.sp.jedit.bufferset.BufferSetManager,5
org.gjt.sp.util.StringList,1
org.gjt.sp.jedit.gui.HistoryModel,2
org.gjt.sp.jedit.Registers,3
org.gjt.sp.jedit.search.SearchAndReplace,11
org.gjt.sp.jedit.textarea.TextAreaPainter,8
org.gjt.sp.jedit.gui.KeyEventTranslator,2
org.gjt.sp.util.StandardUtilities,3
org.gjt.sp.jedit.help.HelpViewer,3
org.gjt.sp.jedit.gui.CompletionPopup,2
org.gjt.sp.jedit.bufferio.BufferIORequest,2
org.gjt.sp.jedit.Mode,7
org.gjt.sp.jedit.EditBus,7
org.gjt.sp.jedit.options.GutterOptionPane,1
org.gjt.sp.jedit.browser.FileCellRenderer,1
org.gjt.sp.jedit.JEditActionSet,1
org.gjt.sp.jedit.bufferio.MarkersSaveRequest,1
org.gjt.sp.jedit.help.HelpIndex,1
org.gjt.sp.jedit.TextUtilities,2
org.gjt.sp.jedit.gui.DockableLayout,1
org.gjt.sp.jedit.SplitConfigParser,1
org.gjt.sp.jedit.ServiceManager,1
org.gjt.sp.jedit.options.TextAreaOptionPane,1
org.gjt.sp.jedit.EditPlugin,1
org.gjt.sp.jedit.io.VFSFile,2
org.gjt.sp.util.Log,2
org.gjt.sp.util.SyntaxUtilities,1
org.gjt.sp.jedit.browser.VFSBrowser,14
org.gjt.sp.jedit.indent.RegexpIndentRule,1
org.gjt.sp.jedit.JARClassLoader,1
org.gjt.sp.jedit.gui.statusbar.WrapWidgetFactory,1
org.gjt.sp.jedit.options.EditingOptionPane,1
org.gjt.sp.jedit.gui.GrabKeyDialog,1
org.gjt.sp.jedit.textarea.JEditTextArea,3
org.gjt.sp.util.TaskManager,4
org.gjt.sp.jedit.options.StatusBarOptionPane,1
org.gjt.sp.jedit.GUIUtilities,11
org.gjt.sp.jedit.pluginmgr.PluginDetailPanel,2
org.gjt.sp.jedit.io.RegexEncodingDetector,1
org.gjt.sp.jedit.textarea.ChunkCache,1
org.gjt.sp.jedit.pluginmgr.PluginManager,3
org.gjt.sp.jedit.gui.tray.JEditTrayIcon,3
org.gjt.sp.jedit.gui.LogViewer,3
org.gjt.sp.jedit.EditPane,5
installer.OperatingSystem,1
org.gjt.sp.jedit.textarea.TriangleFoldPainter,1
org.gjt.sp.jedit.gui.FilesChangedDialog,1
org.gjt.sp.jedit.textarea.FoldPainter,1
org.gjt.sp.jedit.options.PluginOptions,1
org.gjt.sp.jedit.io.FileVFS,3
org.gjt.sp.util.Task,7
org.gjt.sp.jedit.buffer.BufferAdapter,1
org.gjt.sp.jedit.search.SearchBar,1
org.gjt.sp.jedit.jEdit,17
org.gjt.sp.jedit.io.LocalFileSaveTask,1
org.gjt.sp.jedit.PerspectiveManager,5
org.gjt.sp.jedit.textarea.ColumnBlock,3
org.gjt.sp.jedit.gui.tray.JEditSwingTrayIcon,10
org.gjt.sp.util.IOUtilities,2
org.gjt.sp.jedit.search.HyperSearchOperationNode,1
org.gjt.sp.jedit.gui.AboutDialog,3
org.gjt.sp.jedit.textarea.InputMethodSupport,1
org.gjt.sp.jedit.syntax.ParserRuleSet,3
org.gjt.sp.jedit.gui.statusbar.LastModifiedWidgetFactory,2
org.gjt.sp.jedit.help.HelpSearchPanel,1
org.gjt.sp.jedit.browser.RenameBrowserTask,2
org.gjt.sp.jedit.buffer.KillRing,1
org.gjt.sp.jedit.input.AbstractInputHandler,1
org.gjt.sp.jedit.io.Encoding,1
org.gjt.sp.jedit.search.SearchDialog,3
org.gjt.sp.jedit.BeanShell,3
org.gjt.sp.jedit.gui.ExtendedGridLayout,2
org.gjt.sp.jedit.search.HyperSearchRequest,5
org.gjt.sp.jedit.textarea.DisplayManager,5
org.gjt.sp.jedit.menu.FavoritesProvider,1
org.gjt.sp.jedit.syntax.SyntaxUtilities,1
org.gjt.sp.jedit.textarea.AntiAlias,2
org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory,1
org.gjt.sp.jedit.gui.InputHandler,1
org.gjt.sp.jedit.textarea.ElasticTabStopBufferListener,2
org.gjt.sp.jedit.help.HelpTOCPanel,4
org.gjt.sp.jedit.textarea.StructureMatcher,1
org.gjt.sp.jedit.textarea.Node,1
org.gjt.sp.jedit.EditAction,1
org.gjt.sp.util.HtmlUtilities,1
org.gjt.sp.jedit.menu.MacrosProvider,1
org.gjt.sp.jedit.gui.BufferSwitcher,1
org.gjt.sp.jedit.EditServer,5
org.gjt.sp.jedit.textarea.TextAreaTransferHandler,10
org.gjt.sp.jedit.buffer.JEditBuffer,12
org.gjt.sp.jedit.syntax.Chunk,7
org.gjt.sp.jedit.PluginJAR,2
org.gjt.sp.jedit.JEditKillRing,2
org.gjt.sp.jedit.BufferHistory,2
org.gjt.sp.jedit.View,6
org.gjt.sp.jedit.indent.BracketIndentRule,1
org.gjt.sp.jedit.gui.AbstractContextOptionPane,3
org.gjt.sp.jedit.menu.RecentFilesProvider,2
org.gjt.sp.jedit.gui.tray.JTrayIcon,3
org.gjt.sp.jedit.search.HyperSearchResults,1
org.gjt.sp.util.TaskListener,1
org.gjt.sp.jedit.options.GlobalOptions,3
org.gjt.sp.jedit.gui.tray.JTrayIconManager,6
org.gjt.sp.jedit.search.SearchMatcher,2
org.gjt.sp.jedit.pluginmgr.MirrorList,2
org.gjt.sp.jedit.io.CopyFileWorker,2
org.gjt.sp.jedit.gui.ContextAddDialog,4
jars.MacOSX.macosx.MacOSXPlugin,1
org.gjt.sp.jedit.browser.ListDirectoryBrowserTask,3
org.gjt.sp.jedit.search.PatternSearchMatcher,2
org.gjt.sp.jedit.io.VFS,8
org.gjt.sp.util.EnhancedTreeCellRenderer,1
org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,1
org.gjt.sp.jedit.JEditMode,2
org.gjt.sp.jedit.OperatingSystem,1
org.gjt.sp.jedit.gui.FilePropertiesDialog,4
org.gjt.sp.jedit.gui.PasteSpecialDialog,1
org.gjt.sp.jedit.buffer.BufferChangeAdapter,1
org.gjt.sp.jedit.syntax.ModeProvider,7
org.gjt.sp.jedit.gui.ExtendedGridLayoutConstraints,2
org.gjt.sp.jedit.gui.AddAbbrevDialog,1
org.gjt.sp.jedit.browser.MkDirBrowserTask,1
org.gjt.sp.jedit.browser.BrowserIORequest,1
org.gjt.sp.util.SegmentCharSequence,1
org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory,1
org.gjt.sp.jedit.gui.TaskMonitor,2
org.gjt.sp.jedit.gui.PanelWindowContainer,1
org.gjt.sp.jedit.gui.DockableWindowManager,2
org.gjt.sp.jedit.gui.ColorWellButton,2
org.gjt.sp.jedit.options.ViewOptionPane,2
org.gjt.sp.jedit.pluginmgr.PluginList,2
org.gjt.sp.jedit.options.AppearanceOptionPane,2
de.masters_of_disaster.ant.tasks.deb.Deb,1
org.gjt.sp.jedit.buffer.PositionManager,1
org.gjt.sp.jedit.io.VFSManager,4
org.gjt.sp.util.ReadWriteLock,1
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,4
org.gjt.sp.jedit.pluginmgr.InstallPanel,7
org.gjt.sp.jedit.browser.VFSFileNameField,1
org.gjt.sp.jedit.options.ToolBarOptionPane,1
org.gjt.sp.jedit.JEditBeanShellAction,1
org.gjt.sp.jedit.browser.DeleteBrowserTask,1
org.gjt.sp.util.TaskAdapter,1
org.gjt.sp.jedit.textarea.MouseHandler,1
org.gjt.sp.util.WorkRequest,2
installer.Install,1
org.gjt.sp.jedit.bufferio.BufferSaveRequest,1
org.gjt.sp.jedit.menu.PluginsProvider,2
